#         Un          Bn          Vn
#
       17.18       16.82       15.94
       13.69       13.38       13.02
        12.5       12.33        12.1
       14.29       13.91       13.47
       10.83       10.77       10.59
       9.357       9.321        9.14
       14.43        14.1       13.62
       18.51       17.89       16.85
        13.2       12.83       12.45
       18.28       17.53       16.41
       15.53        15.3       14.55
       16.66       16.34       15.52
       14.74       14.39       13.77
       15.83       15.56       14.75
       16.46       16.18       15.38
       13.96       13.63       13.16
       17.28       16.88       15.98
       13.05       12.63       12.31
       8.547       8.541        8.37
       12.36       12.07       11.79
        14.5       14.27       13.75
       15.09       14.91       14.19
       13.46       13.07       12.76
       13.17       12.78       12.49
       12.98        12.6       12.32
       20.93       19.55       18.11
       15.99       15.69       14.96
       14.74       14.43       13.87
       15.72       15.51       14.79
       20.06        18.9       17.62
       19.13       18.34       17.21
       17.26       16.82       15.92
       18.75       17.96       16.84
        20.1       19.44       18.39
       13.52       13.21       12.85
       14.37       14.04       13.46
       9.961       9.881        9.68
       16.28       16.01        15.2
       11.61       11.48       11.26
       12.37       12.17       11.93
          15       14.71        14.1
       18.91       17.95       16.77
       9.585       9.571        9.38
       13.39        13.1       12.68
       16.09       15.73       14.95
       17.44       16.98       16.05
       16.88       16.51       15.63
       14.34       14.01       13.54
       14.19       13.81       13.35
       9.806       9.961        9.81
       17.09       16.78       15.89
       11.39       11.18       10.96
       15.03       14.68       14.08
       18.75       18.01        16.9
       9.245       9.361        9.21
       18.07       17.37       16.31
       19.55       18.63       17.43
