# Colors from the table they have in class notes:
#
#SpType	M_v  	BC	UB	BV	VR	VI 	JK	VK	Teff
O3	-5.8	4	-1.22	-0.32	-99	-99	-99	-99	44500
O5	-5.2	3.8	-1.19	-0.32	-0.14	-0.32	-0.25	-0.99	41000
O8	-4.3	3.3	-1.14	-0.32	-0.14	-0.32	-0.24	-0.96	35000
B0	-3.7	3.0	-1.07	-0.30	-0.13	-0.30	-0.23	-0.91	30500
B3	-1.4	1.6	-0.75	-0.18	-0.08	-0.20	-0.15	-0.54	18750
B6	-1.0	1.2	-0.50	-0.14	-0.06	-0.13	-0.09	-0.39	14000
B8	-0.25	0.8	-0.30	-0.11	-0.04	-0.09	-0.06	-0.26	11600
A0	0.8	0.3	0.0	0.0	0.0	0.0	0.0	0.0	9400
A5	1.8	0.1	0.08	0.19	0.13	0.27	0.08	0.38	7800
F0	2.4	0.1	0.06	0.32	0.16	0.33	0.16	0.70	7300
F5	3.3	0.1	-0.03	0.41	0.27	0.53	0.27	1.10	6500
G0	4.2	0.2	0.05	0.59	0.33	0.66	0.36	1.41	6000
Sun	4.83	0.07	0.14	0.65	0.36	0.72	0.37	1.52	5780
G5	4.93	0.2	0.13	0.69	0.37	0.73	0.41	1.59	5700
K0	5.9	0.4	0.46	0.84	0.48	0.88	0.53	1.89	5250
K5	7.5	0.6	0.91	1.08	0.66	1.33	0.72	2.85	4350
K7	8.3	1.0	-99	1.32	0.83	1.6	0.81	3.16	4000
M0	8.9	1.2	-99	1.41	0.89	1.80	0.84	3.65	3800
M2	11.2	1.7	-99	1.5	1.0	2.2	0.9	4.3	3400
M4	12.7	2.7	-99	1.6	1.2	2.9	0.9	5.3	3200
M6	16.5	4.3	-99	-99	1.9	4.1	1.0	7.3	2600

